status_code, message, timestamp
1, "The PRT is currently running on a normal schedule.", 2010/10/13 10:46:59
2, "The PRT is currently down between Health Sciences Center and Beechurst.", 2011/02/16 10:16:01
1, "The PRT is currently running on a normal schedule.", 2011/02/02 12:02:16
1, "The PRT is currently running on a normal schedule.", 2010/12/02 13:21:15
5, "The PRT is currently out of service to and from Health Sciences Center.  Busses will be picking up at Towers crosswalk by the tennis courts and below the Mountaineer Station for Health Sciences Center.", 2010/09/14 06:22:13
1, "The PRT is currently running on a normal schedule.", 2012/02/01 10:54:18
1, "The PRT is currently running on a normal schedule.", 2011/01/13 14:33:03
6, "The PRT is currently down at the Health Sciences Center station.", 2011/01/31 07:18:08
1, "The PRT is currently running on a normal schedule.", 2010/09/17 15:59:59
2, "The PRT is currently down between Engineering and Beechurst.", 2011/10/15 15:03:34
5, "The prt is out of service @ eng and bee busses will pick up @ the crosswalk by the tennis courts outside of tow and @ the turnaroundsz outside of eng and bee", 2012/02/07 08:35:22
6, "The PRT is currently down at the Walnut Street station.", 2010/08/18 06:40:14
